Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L,297.1,307.8,1636,30.3,90
L,296.9,307.9,1423,43.9,149
H,299.3,308.8,1397,45.4,191
L,302.5,311.5,1985,18.8,190
L,301.5,310.7,1466,47.3,77
M,303.7,313.1,2130,18.1,185
L,302.8,310.9,1312,52.2,40
L,303.8,312.8,1428,53.3,152
L,301.4,310.6,1445,43.9,210
L,300.1,311.5,1434,40.8,80
L,301.7,310.5,1523,34.7,181
L,299.5,310.0,1594,35.1,54
M,300.0,310.4,1385,52.1,128
L,298.1,308.3,1495,38.7,188
M,301.9,310.6,1260,65.9,29
L,299.1,310.6,1921,23.9,158
L,300.5,311.9,1350,51.7,18
L,298.9,310.1,1394,42.7,179
M,297.3,308.5,1710,27.7,138
M,300.2,309.4,1329,53.6,186
M,297.0,308.1,1573,34.9,93
L,302.5,311.5,1700,29.5,133
L,300.7,312.1,1498,44.0,155
L,298.9,309.9,1517,36.6,117
M,298.6,309.1,1339,51.1,34
M,298.8,308.6,1571,33.7,61
L,300.5,311.6,1575,32.5,168
L,298.7,309.8,1394,40.3,11
M,297.5,308.6,1472,44.9,198
L,301.2,311.0,1761,29.1,195
L,300.2,309.5,2183,17.8,39
L,301.3,311.2,1675,32.1,12
L,300.5,311.8,1524,38.9,214
M,298.6,309.1,1587,37.3,203
L,301.7,311.2,1589,37.9,75
L,298.3,308.4,1585,30.6,127
L,298.9,308.3,1660,34.4,9
L,301.0,309.7,1468,42.0,141
L,302.2,310.1,1458,45.1,15
L,302.7,310.9,1395,48.3,80
M,301.1,311.1,1470,40.6,159
L,297.7,307.2,1518,35.8,195
M,298.3,309.4,1816,22.6,138
M,299.8,309.1,1496,44.4,155
L,302.5,311.9,1520,44.9,94
L,300.5,309.7,1560,30.2,139
L,301.6,310.5,1593,34.5,102
M,299.8,311.2,1706,29.2,148
L,296.9,308.1,1741,28.8,60
M,299.7,309.2,1597,32.9,135
M,303.8,312.7,1488,41.3,175
H,300.2,310.3,1408,42.5,0
L,300.8,309.6,1680,28.7,22
H,298.8,309.8,1437,48.2,164
L,301.0,312.2,1510,39.9,61
H,296.9,307.8,1549,35.8,206
M,299.2,310.4,1504,43.3,37
L,298.1,307.8,1413,54.1,113
M,300.9,311.9,1310,56.1,35
L,297.1,308.6,1442,37.1,59
L,302.6,310.5,1748,28.2,2
M,299.1,310.4,1524,51.4,66
H,300.7,310.2,1479,52.3,9
H,297.3,308.3,1461,41.5,108
L,299.9,310.4,1470,50.0,148
M,300.1,309.2,1385,46.1,120
L,302.0,310.6,1467,44.9,86
L,303.8,313.3,1406,52.1,166
L,300.1,310.2,1475,54.2,53
L,301.0,311.9,1454,41.9,33
L,302.2,311.8,1981,21.8,36
L,298.0,307.6,1281,50.8,122
L,297.6,308.6,1526,42.1,57
L,300.2,311.4,1463,37.5,145
M,300.7,311.9,1366,55.1,36
M,297.9,309.0,1530,40.9,42
L,299.7,309.0,1412,49.2,85
L,299.3,309.0,1449,46.5,121
L,296.7,307.8,1605,31.3,128
H,301.0,310.9,1495,37.3,21
M,303.0,312.4,1526,36.1,142
L,296.2,306.9,1526,34.9,140
L,297.4,308.1,1749,25.9,8
L,301.2,311.4,1757,28.0,6
L,298.2,308.0,1499,44.1,166
L,303.5,312.9,1275,64.4,113
L,302.0,310.5,2197,15.8,133
M,300.8,310.9,1557,31.6,52
L,300.1,311.4,1629,31.3,41
M,297.1,307.9,1662,26.9,183
L,298.4,309.5,1692,28.3,136
L,302.1,311.2,1460,46.9,198
M,297.6,308.4,1569,38.3,93
H,298.8,310.1,1704,30.7,150
L,298.0,308.5,1429,37.7,220
H,300.7,311.7,1864,23.6,47
M,300.2,309.7,1413,43.0,137
M,298.2,307.7,1681,31.0,84
H,299.5,310.8,1600,32.4,67
L,298.6,309.6,1472,39.1,14
L,301.4,311.0,1470,40.6,86
L,300.5,311.0,1759,28.3,13
L,302.8,312.3,1494,37.5,198
M,298.2,307.9,1403,45.1,193
L,297.5,309.4,1809,24.3,110
L,300.9,310.1,2090,17.8,133
M,299.4,309.1,1352,44.7,172
L,300.5,310.0,1521,45.1,86
L,297.7,308.9,1838,27.3,99
L,300.0,309.8,1372,39.6,105
M,301.0,310.1,1681,27.4,212
L,301.4,310.5,1380,48.4,131
H,298.5,309.0,1531,30.8,212
M,297.3,308.3,1657,31.1,8
M,298.5,308.8,1557,36.0,21
L,302.6,310.4,1478,47.7,189
L,298.8,308.7,1635,35.2,47
M,301.5,310.8,1385,47.5,30
L,300.0,309.5,1641,30.1,35
L,297.6,308.4,1626,32.4,130
L,298.3,308.0,1442,47.3,65
M,298.1,307.8,1514,43.5,78
L,303.8,312.7,1414,41.7,190
M,298.2,307.8,1566,33.8,100
L,299.3,309.1,1399,52.1,27
L,297.9,309.0,1379,47.3,28
L,303.2,311.5,1513,37.9,0
L,300.7,309.5,1251,59.9,120
M,301.1,310.5,1309,60.7,100
L,297.7,308.2,1446,43.9,172
L,302.8,311.0,1564,38.5,85
L,299.5,310.8,1873,22.3,211
L,301.5,310.6,1578,34.1,120
L,301.4,310.9,1440,45.4,177
L,297.7,308.7,1479,45.7,93
M,299.7,310.9,1620,37.2,203
M,298.7,309.7,1629,27.9,136
H,304.1,313.2,1586,34.6,139
M,303.7,312.4,1474,38.8,139
H,301.8,310.8,1470,37.6,204
L,297.4,308.4,2151,17.7,0
M,297.0,307.9,1569,33.3,141
L,300.2,310.3,1445,50.9,34
H,299.1,310.0,1657,33.1,187
L,297.3,308.2,1553,33.5,2
L,303.8,313.0,1499,42.3,38
L,299.1,308.3,1305,61.4,17
M,302.5,312.0,1451,43.2,189
L,300.5,311.6,1447,45.4,204
L,299.4,308.5,1845,22.9,76
M,299.8,309.6,1434,48.0,82
L,300.7,310.9,1650,29.4,102
H,302.2,311.7,1413,46.5,147
M,299.5,310.7,1424,41.3,101
L,298.8,309.7,1450,43.1,63
L,298.6,309.6,1386,48.6,25
H,296.9,308.0,1318,53.5,88
M,298.3,309.4,1509,34.2,141
M,296.9,307.8,1426,50.7,130
L,302.0,310.5,1978,22.0,106
L,302.0,310.9,1546,34.4,7
M,302.3,311.7,1517,37.6,124
M,297.4,308.5,1638,32.2,84
L,298.7,308.5,1483,42.5,46
L,297.9,307.9,1476,45.2,91
M,303.1,312.4,1378,50.1,104
L,303.7,312.7,1989,22.4,166
M,297.6,308.3,1467,36.7,68
M,302.6,312.1,2000,21.9,200
H,300.9,310.9,1474,35.7,175
L,300.9,310.9,1228,66.4,109
L,297.7,307.6,1921,22.9,68
M,297.4,308.5,1472,42.0,150
L,300.3,309.4,1470,33.5,148
H,300.7,310.8,1296,58.2,204
M,300.4,310.2,1671,30.5,234
L,300.4,309.7,1534,42.5,127
M,300.7,309.5,1445,46.4,24
M,298.1,307.8,1525,35.9,132
L,298.1,308.4,1438,45.6,105
L,300.6,309.7,1593,32.4,76
M,299.0,308.7,1500,40.2,30
L,297.8,308.3,1435,50.1,189
L,297.4,309.2,1584,42.8,186
L,298.4,309.0,2304,15.1,89
H,297.3,308.6,1431,42.0,109
H,301.0,310.9,1916,22.0,42
L,297.9,309.1,1442,50.3,24
L,296.9,307.5,1354,44.4,16
L,298.5,308.9,1725,31.9,205
M,298.2,308.9,1614,35.5,15
L,298.5,309.4,1548,37.7,43
M,298.1,307.4,1363,60.1,187
M,301.4,310.6,1431,40.6,101
L,297.5,308.7,1443,46.2,110
M,300.1,311.1,1616,35.2,183
L,297.0,307.6,1513,42.4,124
L,302.6,312.3,1321,53.4,42
L,299.5,308.8,1965,20.4,164
L,296.9,308.0,1713,29.3,13
L,300.7,310.8,1608,39.5,202
M,299.8,310.6,1574,31.8,113
L,299.6,309.4,1677,31.1,191
M,300.8,312.0,1422,50.7,219
L,298.3,307.9,1551,33.8,72
L,298.1,307.7,2567,12.8,125
H,299.2,310.5,1329,48.9,30
L,300.3,310.3,1345,46.3,50
L,300.7,311.8,1441,38.1,34
L,298.0,308.9,1390,53.9,88
L,297.9,309.0,1456,46.5,52
L,300.7,310.1,1351,46.9,165
L,296.3,307.1,1662,32.9,190
L,300.1,309.4,1559,39.7,24
M,304.2,313.5,1390,47.8,83
M,299.0,308.3,1377,47.2,35
L,295.8,306.4,1399,47.6,84
L,301.3,310.3,1555,41.2,131
M,301.4,311.2,1434,47.6,52
L,300.7,311.1,2478,13.4,170
L,301.0,310.9,1828,25.1,166
M,298.1,308.6,1716,30.7,119
L,297.4,308.7,1468,46.6,94
H,298.3,310.1,1509,37.6,85
M,301.0,310.9,1554,32.7,59
M,303.5,312.6,1642,29.4,18
L,298.9,308.5,1503,40.6,145
M,297.0,308.1,1355,51.4,76
M,303.5,312.6,1405,51.6,62
L,300.8,310.2,1514,40.0,155
M,298.7,309.6,1686,26.2,189
M,298.6,308.4,1778,28.2,161
L,300.7,309.5,1461,49.9,0
L,302.1,310.8,1596,37.1,43
H,299.0,310.3,1658,27.6,69
H,300.5,310.9,1447,46.5,137
H,298.2,307.9,1491,39.7,181
L,301.6,311.2,1525,43.7,91
L,299.8,309.4,1633,27.5,29
M,300.3,311.8,1592,32.1,11
L,301.4,310.8,1477,50.4,90
M,297.5,308.5,1699,30.1,40
L,296.6,307.5,1439,45.5,199
M,301.1,310.7,1583,40.7,2
L,300.7,309.6,1329,54.3,80
L,299.2,308.4,1509,39.4,0
L,301.3,310.4,1414,51.4,199
H,304.1,313.3,1397,49.6,34
H,299.3,310.4,1548,41.6,25
L,302.2,311.6,1872,20.4,202
M,299.2,308.4,1330,51.2,56
L,298.2,308.0,1535,38.0,179
M,299.2,308.6,1631,35.4,64
M,300.8,310.7,1386,42.1,170
L,301.3,310.3,1560,36.3,129
L,303.1,311.2,1626,32.3,21
L,302.1,311.2,1519,39.3,155
M,298.9,310.1,1513,41.5,80
M,297.3,308.7,1577,35.6,133
L,300.0,309.0,1454,51.7,2
H,303.1,311.3,2056,19.7,167
L,298.0,307.7,1387,50.8,204
M,299.9,310.4,1576,34.3,188
L,302.0,310.9,1378,53.1,212
L,303.3,311.8,1315,62.0,42
H,298.6,309.6,1449,42.5,16
L,303.7,312.2,1619,34.9,92
L,297.6,308.7,1319,50.9,141
L,299.1,309.0,1405,53.8,18
M,297.9,307.7,1527,42.8,125
L,297.5,308.8,1533,41.5,223
M,300.2,309.7,1408,44.0,144
L,295.6,306.2,1650,28.2,35
L,300.7,311.8,1478,41.9,207
L,298.9,310.2,1491,45.1,101
L,298.2,309.0,1341,43.8,171
L,300.8,310.9,1453,43.9,84
L,303.4,311.9,1298,63.9,59
M,300.5,309.9,1343,63.7,124
L,301.3,310.6,1560,36.8,113
L,299.1,310.7,1309,51.1,188
M,300.7,309.6,1996,19.8,203
M,297.8,308.4,1579,36.6,152
L,298.4,307.9,1544,35.9,132
L,302.6,312.1,1519,38.1,178
L,297.0,307.9,1479,39.2,151
H,300.6,312.1,1354,46.9,138
L,303.4,312.7,1534,35.5,98
L,297.9,308.5,1683,28.5,63
L,298.8,309.8,1463,40.0,90
L,302.3,311.1,1546,33.1,156
L,300.9,310.5,1599,40.5,57
L,300.5,311.4,1400,45.1,29
H,300.2,311.5,1515,36.8,27
L,300.6,310.2,1341,52.6,21
L,301.8,310.3,1688,28.8,31
M,298.1,308.7,1547,38.9,0
L,299.1,308.8,1329,53.6,207
M,299.3,308.9,1577,34.9,160
L,298.2,308.0,1411,42.4,48
M,297.5,308.6,1327,52.1,24
L,300.8,309.4,1946,20.5,111
L,301.5,311.1,1602,34.3,100
M,300.8,310.6,1669,28.4,79
L,298.5,309.1,1474,41.3,189
M,298.4,309.5,1519,35.4,133
L,303.2,311.5,1544,42.5,227
L,300.3,311.8,1488,38.4,51
L,304.0,313.2,1314,47.1,144
L,298.9,310.1,1577,41.4,80
L,302.5,311.9,1354,49.4,117
H,302.3,311.9,1374,52.4,154
L,300.4,309.7,1467,36.9,131
L,299.4,309.3,1596,31.8,40
L,296.9,308.0,1546,31.1,11
L,299.2,308.5,1821,26.1,69
L,301.0,309.9,1507,41.8,19
L,299.9,310.3,1638,29.1,152
L,303.0,311.2,1374,48.2,65
L,297.6,308.7,1455,48.2,145
M,296.3,307.2,1319,68.3,24
L,300.9,312.2,1811,23.2,72
M,297.9,307.3,1420,47.8,171
L,302.2,311.6,1545,35.9,152
M,299.9,309.2,1683,30.5,13
L,297.4,308.6,1635,30.5,159
L,298.8,309.1,1393,52.6,167
M,300.5,310.5,1469,42.9,14
L,297.8,307.5,1388,40.0,159
L,301.0,311.0,1582,37.5,176
L,302.5,310.3,1592,32.6,174
L,298.1,307.7,1767,27.0,127
L,301.8,309.7,1598,30.4,124
L,300.8,310.9,1748,29.9,140
L,299.2,309.1,1468,45.6,2
M,302.6,311.6,1518,39.0,184
M,298.0,307.8,1492,40.2,197
L,302.7,310.6,1686,26.3,9
L,302.4,311.1,1520,42.2,143
M,303.0,312.3,1674,29.5,109
L,300.5,309.8,1445,43.9,164
H,299.7,309.2,1691,27.7,203
M,296.9,307.9,1979,20.4,68
H,301.3,310.0,1532,36.3,2
L,303.7,313.1,1355,49.1,188
L,299.8,311.2,1533,35.9,137
M,298.1,307.9,1496,40.0,0
L,299.0,308.9,1622,31.9,42
M,300.5,309.8,1473,42.3,121
L,297.3,308.0,1447,49.0,61
L,300.7,310.3,1458,40.0,207
L,301.7,311.1,1644,32.8,206
L,300.9,310.7,1573,31.2,2
M,302.2,311.4,1642,32.1,42
L,295.8,306.4,1339,53.2,67
M,297.5,308.3,1622,37.2,103
L,300.2,311.5,1528,36.1,125
M,297.9,307.5,1647,30.8,212
L,299.7,309.2,1781,29.6,201
H,301.9,311.0,1336,63.6,111
L,298.7,309.7,1293,59.1,125
M,299.9,309.2,1539,43.2,132
L,300.6,310.5,1642,29.9,100
M,301.4,310.7,1459,37.7,40
L,300.8,310.6,1663,30.6,139
L,296.8,307.8,1573,36.4,126
L,300.6,309.6,1409,42.4,57
L,302.8,310.8,1402,50.5,30
L,299.6,310.9,1448,46.3,196
L,300.7,310.8,1754,27.7,84
M,299.5,310.8,1754,31.3,114
L,299.0,308.5,1559,38.1,194
M,301.1,310.6,1429,52.7,35
L,296.4,307.5,1331,47.8,99
M,303.5,312.4,1318,54.2,177
M,298.4,309.4,1429,41.8,203
M,297.2,307.9,1530,35.9,197
M,298.9,310.0,1348,58.2,163
M,299.9,309.1,1513,43.8,188
L,302.6,312.1,1499,35.0,215
L,298.7,309.9,1464,38.0,74
L,295.7,306.5,1737,26.2,97
L,298.0,308.8,1581,36.1,73
M,298.2,309.0,1694,28.0,5
L,299.4,309.3,1401,59.0,38
L,300.5,311.3,1475,46.3,49
L,301.5,310.5,1556,39.1,48
L,298.3,309.4,1356,45.4,96
L,299.6,310.9,1853,26.3,166
L,297.5,309.3,1404,43.5,195
L,298.2,308.9,1332,44.4,100
L,299.9,311.3,1522,45.7,153
L,302.2,311.5,1481,40.4,93
L,299.7,311.2,1352,52.1,176
H,301.9,310.5,1472,39.7,187
L,299.0,308.6,1661,32.2,106
L,300.1,309.1,1551,33.7,214
L,296.9,308.3,1513,38.8,189
L,298.4,307.9,1446,45.3,23
M,300.1,311.4,1575,29.8,210
L,300.8,311.1,1480,41.1,176
L,298.4,309.7,1530,38.6,161
L,303.5,313.0,1393,51.6,80
L,300.0,309.1,1631,28.3,110
L,299.5,310.8,1447,41.0,93
L,299.8,310.0,1361,53.8,167
L,297.9,308.6,1691,29.6,116
M,300.2,311.4,1427,39.7,196
L,301.6,310.8,1355,57.8,195
M,298.5,308.6,1344,53.0,114
L,302.4,311.9,1578,29.9,44
M,302.7,311.6,2709,9.7,2
M,299.0,310.0,1341,58.9,126
M,302.8,312.3,1432,49.0,218
L,297.8,307.8,1573,37.9,33
L,299.8,309.4,1408,45.6,156
L,298.0,309.9,1403,47.7,43
L,297.6,309.3,1543,34.3,8
M,302.7,312.1,1564,32.1,188
L,297.4,308.1,1474,39.4,20
L,301.0,310.5,1379,57.3,204
H,299.6,309.1,1630,32.3,194
M,301.8,310.3,1465,46.5,60
M,298.0,308.1,1552,36.6,190
M,301.2,310.8,1734,31.3,64
L,298.0,308.1,1777,24.3,200
L,296.7,307.8,1382,47.5,37
L,297.5,308.5,1691,33.1,9
L,302.1,311.4,1446,39.7,95
L,303.8,312.9,1589,37.2,203
M,300.2,309.0,1642,31.2,37
M,300.5,311.6,1577,36.5,4
M,302.1,310.7,1608,30.3,81
L,301.3,310.0,1344,54.8,186
L,298.1,308.2,1654,32.1,25
M,302.6,310.4,1532,36.1,77
M,301.4,310.4,1553,44.7,173
H,297.5,309.3,1563,36.1,100
M,303.4,311.8,1391,42.7,197
L,301.5,310.5,1593,32.9,155
L,301.3,310.6,1387,53.6,94
M,299.3,308.5,1305,60.6,44
L,298.6,308.9,1327,58.8,9
L,300.6,310.9,1344,46.7,133
M,302.7,312.0,1538,36.7,74
L,297.6,308.5,1475,42.4,24
L,300.9,310.4,1454,43.1,43
L,299.9,309.4,1322,53.9,33
M,301.0,311.3,1454,41.5,57
L,302.8,312.3,1504,40.3,204
L,302.6,310.2,1325,62.4,92
L,302.5,310.2,1586,32.2,64
L,300.9,311.3,1449,40.2,168
L,300.7,309.6,1661,30.3,129
L,298.5,309.2,1504,33.7,182
L,297.6,308.7,1622,37.9,79
L,299.1,310.1,1435,48.8,229
H,298.0,307.6,1420,45.8,150
L,299.1,308.5,1676,31.0,69
L,297.6,308.7,1552,42.3,27
M,303.8,312.7,1507,38.5,180
H,299.7,310.8,1418,46.6,197
M,298.9,310.0,1456,43.8,15
L,301.5,310.6,1490,48.1,81
L,301.7,311.0,1548,40.3,21
L,297.4,308.4,1378,39.9,63
M,300.9,311.1,1546,37.7,133
M,298.3,310.1,1389,49.6,75
M,297.4,308.5,1497,36.4,56
M,302.2,311.5,1479,39.5,36
M,301.5,310.6,1382,58.1,67
L,303.4,312.8,1449,43.9,94
M,300.8,310.1,1686,26.9,128
L,296.5,307.3,1566,37.2,164
L,302.6,312.1,1502,47.3,171
L,300.7,309.5,1479,43.6,240
L,297.9,309.1,1619,34.7,33
M,296.9,307.9,2010,18.9,86
H,297.1,308.0,1559,38.8,229
L,300.3,309.3,1478,39.5,180
L,299.8,310.4,1579,36.4,0
L,303.2,312.4,1663,33.7,71
L,298.0,308.5,1713,25.3,124
L,299.2,308.7,1650,30.5,93
L,300.6,310.4,1608,39.2,221
L,298.7,310.2,1566,33.1,68
L,299.7,310.4,1614,36.2,108
L,301.4,311.0,1533,45.8,125
M,300.8,310.2,1598,36.5,195
L,303.8,312.6,1793,28.1,170
L,303.1,311.3,1657,31.8,217
L,296.4,307.3,1487,37.5,83
L,299.0,308.7,1426,38.6,16
M,298.3,309.6,1469,54.8,191
L,298.4,307.9,1743,27.3,134
L,299.1,308.8,1320,67.5,20
M,300.3,309.5,1405,49.4,77
L,300.2,311.3,1487,36.9,71
M,297.3,308.4,1521,38.2,87
L,303.4,311.5,1879,21.3,78
M,298.2,309.0,1446,45.8,80
L,301.4,311.0,1701,28.4,127
L,298.9,310.4,1739,26.3,30
L,300.6,311.7,1448,49.1,206
H,300.1,311.4,1518,46.9,87
M,298.9,308.2,1372,63.6,30
H,296.9,308.3,1474,39.2,177
L,301.6,310.8,1564,34.1,150
L,298.8,309.9,1739,30.6,83
M,302.3,311.4,1345,47.6,67
M,303.3,311.8,1441,44.9,61
M,303.3,312.6,1397,47.1,137
L,301.0,310.4,1476,43.6,173
M,297.0,308.1,1363,45.3,196
L,298.0,308.4,1911,22.0,13
M,303.0,312.6,1392,42.9,94
L,300.2,311.6,1322,50.9,215
L,297.5,308.3,1435,40.3,197
L,296.3,307.1,1654,29.6,188
L,299.2,310.4,1379,46.8,39
H,300.4,311.8,2496,13.5,5
M,298.5,308.6,1384,54.4,44
L,301.5,310.6,1565,43.9,142
L,298.0,309.1,1820,23.6,120
L,299.4,309.1,1766,24.6,158
L,301.2,311.0,1670,33.0,200
M,300.1,311.3,1748,26.6,42
L,303.7,312.5,1462,46.2,165
M,300.8,311.4,1521,39.9,15
L,298.1,307.7,1705,29.1,109
L,297.9,307.8,1499,37.5,78
L,297.1,308.2,1427,45.2,136
L,297.4,308.8,1538,41.2,126
H,299.0,310.0,1569,34.3,132
L,295.6,306.2,1823,25.8,29
L,298.3,308.3,1452,45.5,63
L,298.0,308.5,1395,46.2,122
L,297.1,308.2,1347,50.8,49
L,301.6,310.6,1506,43.4,222
L,302.6,310.4,1638,36.2,84
L,300.8,312.0,1374,50.2,154
M,299.6,309.4,1605,29.8,142
L,298.6,310.1,1439,49.9,17
M,302.1,311.5,1383,53.6,108
M,297.6,308.3,1648,29.1,134
M,299.4,310.0,1512,43.2,47
L,301.3,311.1,1454,40.3,191
M,298.4,308.2,1610,35.0,24
L,298.2,308.2,1469,43.0,88
H,300.9,312.0,2129,17.8,173
L,300.4,311.7,1314,59.5,160
H,300.9,309.5,1469,43.4,126
L,297.4,308.5,1389,39.2,54
L,297.8,308.4,1512,39.9,181
M,298.7,310.1,1644,34.1,46
L,300.4,310.1,1544,41.9,184
L,302.1,311.0,1351,49.5,196
